ISBN13,Author
9.7802E+12,"Mark P. O. Morford,Robert J. Lenardon"
9.78E+12,Richard Bruce Wright
9.78006E+12,Carlo D'Este
9.78037E+12,Gina Kolata
9.78039E+12,"Elizabeth Wayland Barber,E. J. W. Barber"
9.7804E+12,Amy Tan
9.78043E+12,Robert Cowley
9.78067E+12,"Scott Turow,Stacy Keach"
9.78068E+12,David Cordingly
9.78074E+12,Ann Beattie
9.78077E+12,David Adams Richards
9.78081E+12,Kensington
9.78089E+12,Sheila Heti
9.78155E+12,J. R. Kaiser
9.78156E+12,"Jack Canfield,Mark Victor Hansen,Jennifer Read Haw"
9.78157E+12,"Loren D. Estleman,John Kenneth"
9.78158E+12,Robert Hendrickson
9.78188E+12,Julia Oliver
9.78044E+12,John Grisham
9.78045E+12,Toni Morrison
9.78061E+12,"The Onion,Scott Dikkers,Mike Loew"
9.78184E+12,"Celia Brooks Brown,Jane Noraika,Philip Webb"
9.78188E+12,J. R. Parrish
9.78006E+12,Mary-kate &amp; Ashley Olsen
9.78044E+12,Robynn Clairday
9.78069E+12,"Kathleen Duey,Karen A. Bale,Bill Dodge"
9.78097E+12,Rich Shapero
9.78035E+12,Michael Crichton
9.78035E+12,Michael Crichton
9.78068E+12,C.S. Lewis
9.78038E+12,Arthur Phillips
9.78043E+12,Stephen Jaramillo
9.7834E+12,"Mordecai Richler,Michael Panofsky,Anette Grube"
9.78344E+12,"Eleanor Cooney,Daniel Altieri"
9.78344E+12,Charlotte Link
9.78344E+12,"Richard North Patterson,Kristian Lutze"
9.78038E+12,Mark Salzman
9.78045E+12,Harper Lee
9.78045E+12,Laura Hillenbrand
9.78006E+12,Barbara Kingsolver
9.78038E+12,Jo Dereske
9.78055E+12,Jane Austen
9.78067E+12,Dolores Krieger
9.78006E+12,Anne Rivers Siddons
9.78055E+12,Dean Koontz
9.78067E+12,Mary Higgins Clark
9.78055E+12,Dean Koontz
9.78043E+12,Patricia Cornwell
9.78043E+12,J.D. Robb
9.78044E+12,Maeve Binchy
9.78081E+12,Laura J. Mixon
9.78084E+12,"Tim LaHaye,Jerry B. Jenkins"
9.78044E+12,John Grisham
9.78006E+12,Bernie S. Siegel M.D.
9.78016E+12,Robert Penn Warren
9.78025E+12,Hans Johannes Hoefer
9.78038E+12,Mark Helprin
9.78055E+12,"O. Carl Simonton M.D.,James Creighton Ph.D.,Stepha"
9.78096E+12,Chuck Hill
9.78096E+12,David Iglehart
9.78067E+12,Larry McMurtry
9.78068E+12,Suzanne Fisher Staples
9.78068E+12,Suzanne Fisher Staples
9.78207E+12,Michel Tournier
9.78035E+12,Carl Sagan
9.78039E+12,Aleksandr Zinoviev
9.78043E+12,Anne Tyler
9.7808E+12,Amy Tan
9.78185E+12,Joseph Conrad
9.78031E+12,"Deepak Chopra,Martin Greenberg"
9.78185E+12,Thomas Hardy
9.78141E+12,"Charles Noland,Sherri Baker"
9.78006E+12,Valerie Frankel
9.78014E+12,Benjamin Hoff
9.78035E+12,Laura Hillenbrand
9.78045E+12,Niccolo Machiavelli
9.78156E+12,H. Jackson Brown Jr.
9.78044E+12,Robert A. Heinlein
9.78039E+12,Philip Pullman
9.78157E+12,
9.78038E+12,Michael Ondaatje
9.78097E+12,Sandra Levy Ceren
9.78087E+12,P. J. O'Rourke
9.78034E+12,Mike Gayle
9.78074E+12,Stel Pavlou
9.78006E+12,Sarah Payne Stuart
9.78006E+12,Dan Quayle
9.78007E+12,"Donald F. Kettl,Donald Kettl"
9.78038E+12,David Frum
9.78055E+12,Louis L'Amour
9.78032E+12,J.D. Salinger
9.78068E+12,John Berendt
9.78067E+12,Mary Higgins Clark
9.78031E+12,Jennifer Crusie
9.78031E+12,Jane Heller
9.78032E+12,Michael Rips
9.78032E+12,Simon Mawer
9.78039E+12,William Abrahams
9.78045E+12,"Robert T. Kiyosaki,Sharon L. Lechter"
9.78045E+12,Ken Follett
9.78055E+12,John F. Love
9.78067E+12,Robert G. Allen
9.78068E+12,Louis De Bernieres
9.78068E+12,"Pam Proctor,Allen M. Schoen"
9.78079E+12,Mitch Albom
9.78067E+12,"Michael Jan Friedman,Ronald D. Moore"
9.78067E+12,Glendon Swarthout
9.78044E+12,"Neal Barrett Jr.,J. Michael Straczynski"
9.78031E+12,David Morrell
9.78045E+12,Sandra Brown
9.78045E+12,"James Patterson,Peter De Jonge"
9.78045E+12,Sandra Brown
9.78045E+12,Stuart Woods
9.78055E+12,Iris Johansen
9.78067E+12,Dan Brown
9.78081E+12,Joe Hutsko
9.78032E+12,Anita Shreve
9.78074E+12,Ann Rule
9.78035E+12,Lewis Grizzard
9.78038E+12,Paul Theroux
9.78045E+12,Lewis Grizzard
9.78045E+12,"Charles Hickey,Todd Lighty,John O'Brien"
9.78067E+12,Stephen King
9.78074E+12,Ben Mezrich
9.78084E+12,Bill Hand
9.78043E+12,Tom Clancy
9.78038E+12,Dana Reeve
9.78972E+12,Roy
9.78045E+12,Barbara Metzger
9.78006E+12,Gabriel Garcia Marquez
9.78006E+12,Rebecca Wells
9.78006E+12,Tony Hillerman
9.78067E+12,Mary Higgins Clark
9.78045E+12,Robert James Waller
9.78033E+12,Rachel Harris
9.78039E+12,Ian McEwan
9.78039E+12,Michael Lewis
9.7819E+12,Richard Zimler
9.7819E+12,Norman Jetmundsen
9.78035E+12,Lorenzo Carcaterra
9.78045E+12,Anne Frasier
9.78055E+12,Kay Hooper
9.78038E+12,Daphne Du Maurier
9.78045E+12,"Nathaniel Hawthorne,Leo Marx"
9.78E+12,Nick Page
9.78039E+12,Laura Wolf
9.78044E+12,Lois Duncan
9.78051E+12,Susan Grant
9.78014E+12,Barbara Vine
9.78045E+12,Shirley Rousseau Murphy
9.78081E+12,Jane Lindskold
9.78045E+12,Robert James Waller
9.78006E+12,Betty Smith
9.78006E+12,"Cybill Shepherd,Aimee Lee Ball"
9.78014E+12,Stewart O'Nan
9.78045E+12,David Baldacci
9.78067E+12,Douglas Adams
